,에너지(cal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg),,흑미,현미,보리,차조,기장,율무,수수,찹쌀,적두,서리태
46,151.725,32.680125,3.021125,0.643,0.011875,0.84,60.1625,,0,75,12.5,3.75,2.5,0,0,0,0,6.25
47,168.4545455,36.71090909,3.300909091,0.71,0.081818182,1.136363636,114.1818182,,0,0,0,0,45.45454545,0,54.54545455,0,0,0
48,141.1808511,30.79010638,2.923510638,0.413404255,0.061382979,1.131914894,164.6808511,,9.574468085,9.574468085,30.85106383,2.127659574,2.127659574,2.127659574,3.191489362,29.78723404,5.319148936,5.319148936
49,135.7922078,29.42363636,2.758961039,0.506753247,0.042857143,1.033766234,121.4285714,,12.98701299,22.07792208,22.07792208,0,0,0,10.38961039,32.46753247,0,0
50,155.1935484,33.55645161,3.126451613,0.640967742,0.04,0.877419355,36.83870968,,25.80645161,48.38709677,0,0,0,0,0,0,12.90322581,12.90322581
51,154.2333333,33.36533333,3.159333333,0.598,0.0475,1.29,51.43333333,,13.33333333,41.66666667,8.333333333,0,5,5,5,16.66666667,0,5
52,157.1014493,33.95376812,3.152898551,0.677826087,0.031449275,0.860869565,29.39130435,,79.71014493,0,0,0,0,0,0,0,10.14492754,10.14492754
53,139.4705882,30.25276018,2.823393665,0.483348416,0.028054299,0.912217195,155.7013575,,20.36199095,23.52941176,33.4841629,0,0,0,0,22.62443439,0,0
54,144.3703704,31.18679012,2.890740741,0.578888889,0.021604938,0.901234568,102.5308642,,8.641975309,53.08641975,20.98765432,0,0,0,2.469135802,14.81481481,0,0
55,146.5882353,31.85080214,2.97,0.501657754,0.034919786,0.919251337,188.6042781,,10.69518717,28.87700535,38.5026738,2.139037433,2.139037433,0,2.139037433,10.69518717,2.139037433,2.673796791
56,157.4390244,34.48,3.092926829,0.403658537,0.02195122,0.631707317,218.7317073,,19.51219512,0,43.90243902,0,36.58536585,0,0,0,0,0
57,139.7666667,30.28033333,2.820666667,0.499,0.025833333,0.903333333,139.75,,10,38.33333333,30,0,0,0,0,21.66666667,0,0
58,133.6666667,28.94666667,2.701111111,0.466666667,0.027777778,0.911111111,104.5555556,,11.11111111,33.33333333,22.22222222,0,0,0,0,33.33333333,0,0
59,141.3382353,30.62044118,2.850588235,0.510735294,0.025,0.9,143.7058824,,14.70588235,35.29411765,30.88235294,0,0,0,0,19.11764706,0,0
60,165.2142857,35.89928571,3.229285714,0.699285714,0.053571429,0.978571429,78.07142857,,28.57142857,0,0,0,35.71428571,0,35.71428571,0,0,0
61,157,34.43571429,2.951428571,0.342857143,0.007142857,0.328571429,33.85714286,,14.28571429,0,0,0,71.42857143,0,0,14.28571429,0,0
62,133.9322034,28.95762712,2.695254237,0.492542373,0.024576271,0.898305085,72.72881356,,16.94915254,33.89830508,15.25423729,0,0,0,0,33.89830508,0,0
63,136.1153846,29.46320513,2.744615385,0.491153846,0.025641026,0.902564103,102.4871795,,17.94871795,30.76923077,21.79487179,0,0,0,0,29.48717949,0,0
64,139,29.895,2.755,0.595,0.0125,0.85,2.75,,0,75,0,0,0,0,0,25,0,0
65,136.7671233,29.55479452,2.745753425,0.51260274,0.02260274,0.890410959,84.20547945,,0,54.79452055,17.80821918,0,0,0,0,27.39726027,0,0
66,146.1111111,31.55555556,2.918888889,0.586666667,0.016666667,0.866666667,103.8888889,,11.11111111,55.55555556,22.22222222,0,0,0,0,11.11111111,0,0
67,139.8780488,30.26317073,2.813170732,0.519268293,0.023170732,0.892682927,114.1219512,,9.756097561,43.90243902,24.3902439,0,0,0,0,21.95121951,0,0
68,141.9667897,30.72826568,2.85597786,0.528856089,0.022878229,0.891512915,127.3431734,,16.60516605,37.63837638,27.30627306,0,0,0,0,18.4501845,0,0
